track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timesig,popularity,duration_ms,year_released
2Qz5eRS3f00q3ts6bZUgYA,0.388,0.468,1,-9.151,1,0.0334,0.575,0.0,0.0586,0.973,183.433,4,22,143000,1992
6Hw7Rp62cMwVpAReee0chl,0.577,0.283,7,-16.845,1,0.0449,0.869,0.0945,0.362,0.509,96.194,4,25,617173,1956
4O8xlS4FgYLcBkxlZIuSIT,0.385,0.184,2,-21.594,0,0.0346,0.789,0.739,0.669,0.221,92.58,4,26,263826,1963
6jBlCAZroSB2ZSKXE08LXL,0.513,0.62,5,-10.926,0,0.0469,0.0989,0.886,0.133,0.501,96.974,4,30,457133,1970
3PJMsxg6rz9FOo6xNiASXz,0.356,0.0937,8,-16.64,0,0.0353,0.957,0.096,0.209,0.278,86.669,3,58,342373,1959
3MRu7wA7ziRNf2cZr9gqtb,0.632,0.202,2,-13.068,0,0.0587,0.766,0.0,0.146,0.488,134.298,3,36,228066,1958
0YJ6ZU7cl9hehdbCsYZrLB,0.478,0.329,4,-19.768,1,0.143,0.916,0.948,0.112,0.315,87.698,4,23,312626,1971
2ufzmxjUroMJ39oPW7EyNN,0.488,0.148,0,-13.97,1,0.0491,0.911,1.7e-05,0.0689,0.669,161.639,4,3,197946,1932
3ASbn4OVbcg1tnSjmdyREe,0.508,0.253,3,-17.518,1,0.0487,0.471,0.246,0.121,0.579,95.527,4,35,523760,1968
4ymHy4hzJ09WxvvT7p0Azy,0.575,0.0935,3,-15.906,1,0.0858,0.978,0.452,0.109,0.301,65.23,4,51,258040,1988
6cU4urQRUieTBH08yKHAqj,0.339,0.342,7,-7.596,0,0.0313,0.962,0.319,0.162,0.393,132.599,3,58,167121,1957
4gogxeItIt50DZFZrzCqqt,0.702,0.227,5,-19.677,0,0.0484,0.275,0.102,0.0787,0.491,82.714,4,29,345520,1985
06UkYE0SZ3Y8zGRFOuWGAe,0.499,0.0341,8,-22.31,1,0.0417,0.923,5.27e-05,0.131,0.31,81.735,4,61,215466,1956
1BPmVDqR4cX9aFC0Qx0eWn,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91,4,53,296666,1975
6yvrxYePKJLqUeKE6ejLkY,0.547,0.855,9,-6.107,1,0.033,3.37e-05,0.672,0.185,0.793,128.986,4,36,266351,1992
3UrxgGboM1N5xsdOcz4o0K,0.667,0.0732,10,-19.82,1,0.0693,0.853,1.8e-05,0.168,0.158,67.349,4,37,265226,1963
4kBkWKfGO2qsVLItaP7TU2,0.565,0.492,5,-10.668,1,0.0736,0.92,3.46e-06,0.123,0.915,133.919,4,32,193653,1956
3MorzsnlfKD1SlMWdDtKwb,0.52,0.216,7,-19.432,1,0.0404,0.787,0.318,0.117,0.368,144.849,4,30,464613,1959
6115ks6fGkf7KYRDAi8lNK,0.447,0.487,7,-6.783,1,0.062,0.843,0.0,0.177,0.696,182.515,3,53,113293,1953
78MI7mu1LV1k4IA2HzKmHe,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,4,73,185160,1957
3toxxSU3TcvzgmeR8LLUiX,0.364,0.787,4,-12.46,0,0.0437,0.347,0.649,0.113,0.831,88.046,4,49,563400,1969
2XZNafEK3vm9ndxKgqhO3g,0.72,0.776,5,-8.651,0,0.0468,0.345,0.00142,0.0494,0.969,107.157,4,21,230226,1989
3jaUMGTyi4XHBZpXpIWzo2,0.464,0.0059,1,-22.41,1,0.0608,0.945,0.904,0.139,0.297,95.178,4,46,254026,1987
5K6jQyCr2sxKMvcBLI6Zfv,0.472,0.478,6,-9.504,1,0.044,0.698,1.46e-05,0.13,0.478,140.766,4,31,425066,1964
3IWapc5QZq6tidZIZZhxMT,0.44,0.0394,11,-20.031,1,0.0536,0.952,1.95e-06,0.0675,0.213,118.92,4,25,155706,1996
0L1S8G9IuCssiPQgr0uEBo,0.43,0.255,5,-12.47,0,0.0318,0.833,0.000209,0.11,0.192,97.745,4,39,356160,1998
5F8rPLt2c52p0SK7kiH26b,0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,4,57,415000,1972
3BF3uROPt95X3X7ZixXFRC,0.556,0.258,5,-11.745,1,0.0412,0.698,5.56e-05,0.0954,0.414,83.964,4,41,317986,1961
7auuTTjddIetIThE5nvSqE,0.389,0.21,0,-16.155,0,0.0368,0.917,0.855,0.889,0.219,104.482,4,16,520760,1954
5TCw825l4FDJCX6FqjCiKH,0.477,0.287,5,-13.191,0,0.0433,0.671,0.0,0.0635,0.502,94.489,4,15,319493,1989
1QD1TFvlYrbCcfsGSjMvBu,0.48,0.331,7,-14.67,1,0.0416,0.833,0.816,0.0457,0.361,122.4,4,28,293066,1962
0AoklugadsjYsNpOdidHpF,0.544,0.246,0,-14.357,1,0.0607,0.872,0.000568,0.108,0.676,99.586,4,38,220373,1994
0b1enif732ppkDbyWMys0G,0.572,0.282,0,-14.537,0,0.0662,0.894,0.893,0.0915,0.54,118.334,4,29,450400,1958
03RHLun8Ni9yFjA7vNGOkY,0.699,0.776,10,-7.283,0,0.0436,0.445,0.654,0.0978,0.839,101.692,4,45,236466,1979
5xQOwSzHhZKKvWcYSWrPWl,0.814,0.436,0,-14.268,1,0.0399,0.559,0.0,0.0444,0.804,122.555,4,20,180960,1966
5KC32YrLNFpjDrjz37KIrK,0.39,0.0968,0,-14.966,1,0.0285,0.867,3.58e-06,0.0715,0.135,68.768,4,58,209960,1991
6srjd0H3jKYSvTqqYm98SW,0.621,0.197,7,-14.483,1,0.0573,0.99,0.878,0.152,0.569,120.196,4,23,214000,1954
1AVhSWEVKhpMxK666wCHKW,0.345,0.161,2,-19.953,0,0.0373,0.648,0.909,0.204,0.182,176.059,3,32,283960,1997
79nMHWTfds6KJu5zWQbQ4n,0.52,0.0206,2,-22.868,0,0.0486,0.961,0.000435,0.0981,0.109,118.424,4,51,230066,1960
5B5QXJzYyyzp4NaqyiI4gI,0.586,0.131,9,-16.439,0,0.0512,0.971,0.381,0.0945,0.364,118.545,4,21,373800,1997
7J2kYMUtOIzKU9Tpd6YDYX,0.278,0.744,10,-10.128,1,0.0676,0.0101,0.816,0.114,0.496,105.466,4,40,559520,1975
4rmCI9VWrwrJTJ8XQ80BMN,0.372,0.187,0,-13.497,0,0.0323,0.942,0.139,0.161,0.217,70.334,4,60,319733,1963
08x2tZWOiR81Ht7emwGEsm,0.461,0.422,10,-14.101,1,0.0367,0.678,0.844,0.646,0.139,134.791,4,25,736160,1993
7MZPYbSzakRfc40J4pcqHZ,0.542,0.204,5,-17.427,0,0.0456,0.836,0.13,0.0807,0.62,94.272,4,25,454240,1959
5wK0I2nGDosuttrhkVHZnO,0.716,0.18,1,-13.809,1,0.0579,0.678,0.0,0.141,0.719,80.45,4,26,122800,1960
427fYkFx1Arn2qGQeGVGNT,0.724,0.0542,8,-19.512,1,0.0484,0.984,0.896,0.108,0.542,119.471,4,46,205373,1956
1xaTXPoDk4VOU9XhYX4KJM,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,4,63,419626,1961
5YqbI386hA12mNamAKjfrv,0.626,0.301,10,-16.997,0,0.0369,0.825,0.649,0.15,0.449,127.532,4,28,527066,1992
0pA0V8IUYspHGHypL0e1Gt,0.648,0.49,0,-10.526,1,0.0565,0.898,0.618,0.109,0.886,105.663,4,10,170373,1968
6NVHxwaBkfTIINMCmZ1JUl,0.409,0.0432,8,-22.772,1,0.0411,0.985,0.859,0.101,0.0815,111.976,4,45,309360,1960
5o8tVIJzmfhxzMb2zHUEcq,0.673,0.493,10,-10.756,1,0.0407,0.782,0.00427,0.359,0.882,110.614,4,0,197822,1960
7fDzQMMq9Y91UMvICmYNUK,0.179,0.0223,2,-24.077,0,0.0346,0.978,0.839,0.0862,0.0537,102.853,4,25,267933,1957
66iKqUazBbTlAEjcZrpDkD,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,4,63,151866,1959
5FYgwqjjq9kPCMj8yArfTr,0.551,0.119,0,-15.468,0,0.0435,0.924,0.00264,0.119,0.243,70.129,4,54,358200,1957
50e7nnf8hvftzNxoi1XYj3,0.425,0.123,5,-13.763,1,0.0317,0.844,0.687,0.121,0.209,84.808,4,4,210960,1992
2bPeAxNC1S1C359ds8Tw3X,0.458,0.155,10,-17.853,1,0.0405,0.908,0.621,0.299,0.276,126.281,4,33,526892,1963
1gkRcSYDMfPvpbFqXQL4FK,0.559,0.0508,0,-21.273,1,0.0368,0.974,0.0,0.0849,0.23,79.236,4,39,167200,1958
6n1EOsR4Q7yYUHdnHQmWhe,0.478,0.0535,2,-26.965,1,0.0854,0.894,0.848,0.695,0.157,174.182,3,24,385493,1992
